step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
185,0.6113930121064186,9.25e-05,763.278605222702,0.5941250708795363,0.44449362868960746,33.663349153294014,0
186,0.6096813678741455,9.3e-05,767.1812565326691,0.5941250708795363,0.44449362868960746,33.663349153294014,0
187,0.5547474212944508,9.35e-05,771.0798628330231,0.5941250708795363,0.44449362868960746,33.663349153294014,0
188,0.6183299720287323,9.4e-05,774.979752779007,0.5941250708795363,0.44449362868960746,33.663349153294014,0
189,0.586231492459774,9.45e-05,778.8734996318817,0.5941250708795363,0.44449362868960746,33.663349153294014,0
190,0.5865174010396004,9.5e-05,782.7709052562714,0.5941250708795363,0.44449362868960746,33.663349153294014,0
191,0.5942281037569046,9.55e-05,786.6800720691681,0.5941250708795363,0.44449362868960746,33.663349153294014,0
192,0.6050627529621124,9.6e-05,790.586225271225,0.5941250708795363,0.44449362868960746,33.663349153294014,0
193,0.5935284197330475,9.65e-05,794.4745795726776,0.5941250708795363,0.44449362868960746,33.663349153294014,0
194,0.6107042655348778,9.7e-05,798.39133644104,0.5941250708795363,0.44449362868960746,33.663349153294014,0
195,0.5411495380103588,9.75e-05,802.2964000701904,0.5941250708795363,0.44449362868960746,33.663349153294014,0
196,0.605532094836235,9.800000000000001e-05,806.1958334445953,0.5941250708795363,0.44449362868960746,33.663349153294014,0
197,0.5944020226597786,9.850000000000001e-05,810.0960335731506,0.5941250708795363,0.44449362868960746,33.663349153294014,0
198,0.6065156608819962,9.900000000000001e-05,814.0024502277374,0.5941250708795363,0.44449362868960746,33.663349153294014,0
199,0.5979486480355263,9.95e-05,817.926301240921,0.5941250708795363,0.44449362868960746,33.663349153294014,0
200,0.5948978662490845,0.0001,835.1564095020294,0.5712631923850103,0.4648152075224556,22.9011407414875,1
201,0.5979891158640385,0.0001005,838.9108843803406,0.5712631923850103,0.4648152075224556,22.9011407414875,0
202,0.6061543226242065,0.000101,842.810266494751,0.5712631923850103,0.4648152075224556,22.9011407414875,0
203,0.6200663298368454,0.0001015,846.6966495513916,0.5712631923850103,0.4648152075224556,22.9011407414875,0
204,0.6076824516057968,0.00010200000000000001,850.5844814777374,0.5712631923850103,0.4648152075224556,22.9011407414875,0
205,0.587147131562233,0.00010250000000000001,854.4723818302155,0.5712631923850103,0.4648152075224556,22.9011407414875,0
206,0.6113780066370964,0.00010300000000000001,858.3555996417999,0.5712631923850103,0.4648152075224556,22.9011407414875,0
207,0.5627905912697315,0.00010350000000000001,862.2397894859314,0.5712631923850103,0.4648152075224556,22.9011407414875,0
208,0.5867312029004097,0.00010400000000000001,866.1273474693298,0.5712631923850103,0.4648152075224556,22.9011407414875,0
209,0.5868786871433258,0.00010449999999999999,870.0216436386108,0.5712631923850103,0.4648152075224556,22.9011407414875,0
210,0.5990917533636093,0.00010499999999999999,873.9114947319031,0.5712631923850103,0.4648152075224556,22.9011407414875,0
211,0.5570230185985565,0.0001055,877.7954902648926,0.5712631923850103,0.4648152075224556,22.9011407414875,0
212,0.5958200022578239,0.000106,881.6767768859863,0.5712631923850103,0.4648152075224556,22.9011407414875,0
213,0.5657139793038368,0.0001065,885.5664258003235,0.5712631923850103,0.4648152075224556,22.9011407414875,0
214,0.5959216803312302,0.000107,889.4524431228638,0.5712631923850103,0.4648152075224556,22.9011407414875,0
215,0.6139800995588303,0.0001075,893.3376548290253,0.5712631923850103,0.4648152075224556,22.9011407414875,0
216,0.5822947323322296,0.000108,897.2208812236786,0.5712631923850103,0.4648152075224556,22.9011407414875,0
217,0.6010333225131035,0.0001085,901.0981256961823,0.5712631923850103,0.4648152075224556,22.9011407414875,0
218,0.596521120518446,0.00010899999999999999,904.9872891902924,0.5712631923850103,0.4648152075224556,22.9011407414875,0
219,0.6121182665228844,0.0001095,908.8733320236206,0.5712631923850103,0.4648152075224556,22.9011407414875,0
220,0.5952354744076729,0.00011,912.7587368488312,0.5712631923850103,0.4648152075224556,22.9011407414875,0
221,0.624578170478344,0.0001105,916.6390171051025,0.5712631923850103,0.4648152075224556,22.9011407414875,0
222,0.6090847253799438,0.000111,920.5218760967255,0.5712631923850103,0.4648152075224556,22.9011407414875,0
223,0.6010291129350662,0.0001115,924.4088506698608,0.5712631923850103,0.4648152075224556,22.9011407414875,0
224,0.6244683787226677,0.000112,928.3073799610138,0.5712631923850103,0.4648152075224556,22.9011407414875,0
225,0.5990142449736595,0.0001125,932.1887395381927,0.5712631923850103,0.4648152075224556,22.9011407414875,0
226,0.5610169172286987,0.00011300000000000001,936.071976184845,0.5712631923850103,0.4648152075224556,22.9011407414875,0
227,0.5933350101113319,0.00011350000000000001,939.9589378833771,0.5712631923850103,0.4648152075224556,22.9011407414875,0
228,0.6202313303947449,0.000114,943.892587184906,0.5712631923850103,0.4648152075224556,22.9011407414875,0
229,0.59837307035923,0.0001145,947.828959941864,0.5712631923850103,0.4648152075224556,22.9011407414875,0
230,0.569599274545908,0.000115,951.7146141529083,0.5712631923850103,0.4648152075224556,22.9011407414875,0
231,0.6111290827393532,0.0001155,955.6314673423767,0.5712631923850103,0.4648152075224556,22.9011407414875,0
232,0.6300470530986786,0.000116,959.5517313480377,0.5712631923850103,0.4648152075224556,22.9011407414875,0
233,0.5825640261173248,0.00011650000000000001,963.4569141864777,0.5712631923850103,0.4648152075224556,22.9011407414875,0
234,0.5854652039706707,0.00011700000000000001,967.3495366573334,0.5712631923850103,0.4648152075224556,22.9011407414875,0
235,0.5776611268520355,0.00011750000000000001,971.2325391769409,0.5712631923850103,0.4648152075224556,22.9011407414875,0
236,0.6026059463620186,0.00011800000000000001,975.1273279190063,0.5712631923850103,0.4648152075224556,22.9011407414875,0
237,0.5449723117053509,0.00011850000000000001,979.0104558467865,0.5712631923850103,0.4648152075224556,22.9011407414875,0
238,0.6052526533603668,0.000119,982.8952815532684,0.5712631923850103,0.4648152075224556,22.9011407414875,0
239,0.5970624536275864,0.0001195,986.778397321701,0.5712631923850103,0.4648152075224556,22.9011407414875,0
240,0.5764369703829288,0.00011999999999999999,990.6767060756683,0.5712631923850103,0.4648152075224556,22.9011407414875,0
241,0.5646887458860874,0.0001205,994.5590839385986,0.5712631923850103,0.4648152075224556,22.9011407414875,0
242,0.5922289676964283,0.000121,998.4395015239716,0.5712631923850103,0.4648152075224556,22.9011407414875,0
243,0.5747826248407364,0.0001215,1002.3057796955109,0.5712631923850103,0.4648152075224556,22.9011407414875,0
244,0.5985597223043442,0.000122,1006.1994025707245,0.5712631923850103,0.4648152075224556,22.9011407414875,0
245,0.615318052470684,0.0001225,1010.0797290802002,0.5712631923850103,0.4648152075224556,22.9011407414875,0
246,0.6175521463155746,0.000123,1013.958226442337,0.5712631923850103,0.4648152075224556,22.9011407414875,0
247,0.6003270968794823,0.0001235,1017.8384227752686,0.5712631923850103,0.4648152075224556,22.9011407414875,0
248,0.6233562454581261,0.000124,1021.7167720794678,0.5712631923850103,0.4648152075224556,22.9011407414875,0
249,0.6209871098399162,0.0001245,1025.5949091911316,0.5712631923850103,0.4648152075224556,22.9011407414875,0
250,0.5975692421197891,0.000125,1042.70303606987,0.5779214350096313,0.44232069889507886,30.656656234556593,1
251,0.6089379265904427,0.0001255,1046.4586753845215,0.5779214350096313,0.44232069889507886,30.656656234556593,0
252,0.5918898582458496,0.000126,1050.357623577118,0.5779214350096313,0.44232069889507886,30.656656234556593,0
253,0.5943232402205467,0.0001265,1054.2709593772888,0.5779214350096313,0.44232069889507886,30.656656234556593,0
254,0.5527960546314716,0.000127,1058.170639514923,0.5779214350096313,0.44232069889507886,30.656656234556593,0
255,0.5659499131143093,0.0001275,1062.0667741298676,0.5779214350096313,0.44232069889507886,30.656656234556593,0
256,0.5990491360425949,0.000128,1065.9663169384003,0.5779214350096313,0.44232069889507886,30.656656234556593,0
257,0.5978749468922615,0.0001285,1069.8540754318237,0.5779214350096313,0.44232069889507886,30.656656234556593,0
258,0.6080365777015686,0.000129,1073.7680451869965,0.5779214350096313,0.44232069889507886,30.656656234556593,0
259,0.595857385545969,0.0001295,1077.6660161018372,0.5779214350096313,0.44232069889507886,30.656656234556593,0
260,0.5829650387167931,0.00013000000000000002,1081.6206324100494,0.5779214350096313,0.44232069889507886,30.656656234556593,0
261,0.594928927719593,0.0001305,1085.5807597637177,0.5779214350096313,0.44232069889507886,30.656656234556593,0
262,0.6163223683834076,0.000131,1089.5214276313782,0.5779214350096313,0.44232069889507886,30.656656234556593,0
263,0.576138861477375,0.0001315,1093.4158656597137,0.5779214350096313,0.44232069889507886,30.656656234556593,0
264,0.564604852348566,0.000132,1097.3006012439728,0.5779214350096313,0.44232069889507886,30.656656234556593,0
265,0.5748031064867973,0.0001325,1101.1788702011108,0.5779214350096313,0.44232069889507886,30.656656234556593,0
266,0.5951836556196213,0.000133,1105.0611686706543,0.5779214350096313,0.44232069889507886,30.656656234556593,0
